name,form_factor,price
Aerocool Cylon,ATX,51.99
Asus ROG Strix Helios,ATX,279.99
Cooler Master MasterBox MB311L ARGB,Micro ATX,74.98
Cooler Master MasterBox MB320L ARGB,Micro ATX,74.98
Cooler Master MasterBox NR200,Mini,89.99
Cooler Master MasterBox NR200P,Mini,129.99
Cooler Master MasterBox NR400 (w/ODD),Micro ATX,64.98
Cooler Master MasterBox NR600 (w/o ODD),ATX,75.08
Cooler Master MasterBox Q300L,Micro ATX,46.86
Cooler Master MasterBox Q500L,ATX,57.99
Cooler Master MasterBox TD500 Mesh White w/ Controller,ATX,119.99
Cooler Master MasterBox TD500 Mesh w/ Controller,ATX,110.99
Cooler Master MasterCase H500,ATX,99.99
Corsair 1000D,ATX,514.99
Corsair 275R Airflow,ATX,199.97
Corsair 4000D,ATX,59.99
Corsair 4000D Airflow,ATX,94.99
Corsair 5000D AIRFLOW,ATX,164.99
Corsair Carbide 175R RGB,ATX,74.98
Corsair Crystal 680X RGB,ATX,264.99
Corsair Obsidian 500D RGB SE,ATX,264.99
Corsair SPEC-DELTA RGB,ATX,79.99
Corsair iCUE 220T RGB Airflow,ATX,99.99
Corsair iCUE 4000X RGB,ATX,134.99
Corsair iCUE 465X RGB,ATX,139.99
Corsair iCUE 5000X RGB,ATX,204.99
Cougar MX330-X,ATX,47.98
Deepcool MATREXX 30,Micro ATX,39.99
Deepcool MATREXX 50,ATX,49.99
Fractal Design Define R5,ATX,115.98
Fractal Design Focus G,ATX,57.98
Fractal Design Meshify 2,ATX,152.78
Fractal Design Meshify 2 Compact TG Light Tint,ATX,119.98
Fractal Design Meshify C,ATX,97.89
Fractal Design Meshify C Mini,Micro ATX,98.98
Lian Li LANCOOL 205M,Micro ATX,69.98
Lian Li LANCOOL 215,ATX,117.99
Lian Li LANCOOL II-X,ATX,99.99
Lian Li Lancool II Mesh,ATX,109.99
Lian Li O11 Dynamic Mini,ATX,119.99
Lian Li O11 Dynamic Mini Snow Edition,ATX,129.9
Lian Li O11D XL-W,ATX,219.99
Lian Li O11D XL-X,ATX,219.99
Lian Li PC-O11 Dynamic,ATX,149.99
Lian Li PC-O11 Dynamic Razer,ATX,184.99
MSI MAG FORGE 100R,ATX,59.99
MSI MPG GUNGNIR 110R,ATX,109.99
MUSETEX Phantom,ATX,89.99
Metallic Gear Neo Silent,ATX,54.98
Montech X1,ATX,56.9
NZXT H210,Mini,79.99
NZXT H510,ATX,66.98
NZXT H510 Elite,ATX,129.99
NZXT H510i,ATX,99.99
NZXT H710,ATX,138.99
NZXT H710i,ATX,169.99
Phanteks Eclipse P300,ATX,49.99
Phanteks Eclipse P300A Mesh,ATX,49.99
Phanteks Eclipse P360A,ATX,74.98
Phanteks Eclipse P400A,ATX,79.98
Phanteks Eclipse P400A Digital,ATX,89.99
Phanteks Eclipse P500A,ATX,119.99
Phanteks Eclipse P500A D-RGB,ATX,139.99
Phanteks Enthoo Pro,ATX,99.99
Phanteks Enthoo Pro Tempered Glass,ATX,109.99
Rosewill FBM-01,Micro ATX,25.99
Rosewill FBM-X1,Micro ATX,29.99
Thermaltake Core W200,ATX,549.99
Thermaltake S100 Snow Edition,Micro ATX,298.5
Thermaltake Versa H18,Micro ATX,36.74
be quiet! Pure Base 500DX,ATX,109.99
